"Fact","Fact Note","Cutler Bay town, Florida","Value Note for Cutler Bay town, Florida","Hialeah city, Florida","Value Note for Hialeah city, Florida","Miami city, Florida","Value Note for Miami city, Florida","Miami-Dade County, Florida","Value Note for Miami-Dade County, Florida","South Miami city, Florida","Value Note for South Miami city, Florida","UNITED STATES","Value Note for UNITED STATES"
"Population estimates, July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","325,719,178",""
"Population estimates, July 1, 2016,  (V2016)","","44,707","","236,387","","453,579","","2,712,945","","12,207","","323,127,513",""
"Population estimates base, April 1, 2010,  (V2017)","","NA","","NA","","NA","","NA","","NA","","308,758,105",""
"Population estimates base, April 1, 2010,  (V2016)","","40,286","","224,687","","399,527","","2,498,018","","11,673","","308,758,105",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","5.5%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","","11.0%","","5.2%","","13.5%","","8.6%","","4.6%","","4.7%",""
"Population, Census, April 1, 2010","","40,286","","224,669","","399,457","","2,496,435","","11,657","","308,745,538",""
"Persons under 5 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","5.8%","","X","","6.2%",""
"Persons under 5 years, percent, April 1, 2010","","6.8%","","5.0%","","6.0%","","6.0%","","5.3%","","6.5%",""
"Persons under 18 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","20.3%","","X","","22.8%",""
"Persons under 18 years, percent, April 1, 2010","","25.8%","","19.1%","","18.4%","","21.9%","","20.2%","","24.0%",""
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","16.0%","","X","","15.2%",""
"Persons 65 years and over, percent, April 1, 2010","","10.6%","","19.1%","","16.0%","","14.1%","","13.0%","","13.0%",""
"Female persons, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","51.5%","","X","","50.8%",""
"Female persons, percent, April 1, 2010","","51.7%","","51.7%","","50.2%","","51.6%","","50.9%","","50.8%",""
"White alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","78.3%","","X","","76.9%",""
"Black or African American alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","18.5%","","X","","13.3%",""
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","0.3%","","X","","1.3%",""
"Asian alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","1.6%","","X","","5.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","Z","","X","","0.2%",""
"Two or More Races, percent, July 1, 2016,  (V2016)","","X","","X","","X","","1.2%","","X","","2.6%",""
"Hispanic or Latino, percent, July 1, 2016,  (V2016)","(b)","X","","X","","X","","67.7%","","X","","17.8%",""
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","","X","","X","","X","","13.8%","","X","","61.3%",""
"Veterans, 2012-2016","","1,466","","2,006","","6,490","","53,272","","272","","19,535,341",""
"Foreign born persons, percent, 2012-2016","","36.5%","","74.0%","","57.6%","","52.2%","","34.1%","","13.2%",""
"Housing units,  July 1, 2016,  (V2016)","","X","","X","","X","","1,021,527","","X","","135,697,926",""
"Housing units, April 1, 2010","","14,620","","74,067","","183,994","","989,435","","5,174","","131,704,730",""
"Owner-occupied housing unit rate, 2012-2016","","71.3%","","45.7%","","30.5%","","52.6%","","60.0%","","63.6%",""
"Median value of owner-occupied housing units, 2012-2016","","$216,500","","$163,600","","$241,200","","$221,100","","$398,100","","$184,700",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,734","","$1,342","","$1,796","","$1,685","","$2,362","","$1,491",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$568","","$427","","$528","","$568","","$692","","$462",""
"Median gross rent, 2012-2016","","$1,394","","$1,035","","$995","","$1,143","","$1,148","","$949",""
"Building permits, 2016","","X","","X","","X","","9,317","","X","","1,206,642",""
"Households, 2012-2016","","12,999","","70,430","","161,605","","853,624","","4,194","","117,716,237",""
"Persons per household, 2012-2016","","3.36","","3.32","","2.61","","3.07","","2.88","","2.64",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","89.6%","","93.4%","","86.3%","","87.7%","","84.5%","","85.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","54.9%","","93.6%","","76.8%","","73.0%","","50.7%","","21.1%",""
