"Fact","Fact Note","Palmetto Bay village, Florida","Value Note for Palmetto Bay village, Florida","North Bay Village city, Florida","Value Note for North Bay Village city, Florida","Bay Harbor Islands town, Florida","Value Note for Bay Harbor Islands town, Florida","Key Biscayne village, Florida","Value Note for Key Biscayne village, Florida","West Miami city, Florida","Value Note for West Miami city, Florida","Aventura city, Florida","Value Note for Aventura city, Florida"
"Population estimates, July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2016,  (V2016)","","24,570","","8,262","","5,975","","13,019","","7,459","","37,724",""
"Population estimates base, April 1, 2010,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2010,  (V2016)","","23,411","","7,137","","5,533","","12,344","","5,965","","35,762",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","","5.0%","","15.8%","","8.0%","","5.5%","","25.0%","","5.5%",""
"Population, Census, April 1, 2010","","23,410","","7,137","","5,628","","12,344","","5,965","","35,762",""
"Persons under 5 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 5 years, percent, April 1, 2010","","5.1%","","5.3%","","6.0%","","6.7%","","4.5%","","5.4%",""
"Persons under 18 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 18 years, percent, April 1, 2010","","26.2%","","15.4%","","21.7%","","28.2%","","17.7%","","15.4%",""
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons 65 years and over, percent, April 1, 2010","","12.1%","","9.2%","","17.1%","","17.4%","","24.3%","","26.6%",""
"Female persons, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Female persons, percent, April 1, 2010","","51.5%","","49.7%","","53.5%","","53.6%","","53.1%","","54.2%",""
"White alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Black or African American alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Asian alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Two or More Races, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Hispanic or Latino, percent, July 1, 2016,  (V2016)","(b)","X","","X","","X","","X","","X","","X",""
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Veterans, 2012-2016","","828","","209","","204","","398","","54","","1,204",""
"Foreign born persons, percent, 2012-2016","","32.4%","","50.9%","","39.0%","","48.7%","","66.5%","","46.8%",""
"Housing units,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Housing units, April 1, 2010","","8,372","","4,572","","3,199","","7,072","","2,180","","26,120",""
"Owner-occupied housing unit rate, 2012-2016","","83.9%","","35.0%","","45.1%","","72.1%","","58.7%","","65.1%",""
"Median value of owner-occupied housing units, 2012-2016","","$467,400","","$249,200","","$312,800","","$1,034,800","","$243,700","","$310,300",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$2,804","","$2,118","","$3,000","","$4,000+","1","$1,644","","$2,097",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$897","","$932","","$913","","$1,500+","2","$405","","$1,093",""
"Median gross rent, 2012-2016","","$1,218","","$1,626","","$1,429","","$2,549","","$1,175","","$1,681",""
"Building permits, 2016","","X","","X","","X","","X","","X","","X",""
"Households, 2012-2016","","7,367","","3,264","","2,462","","4,641","","2,188","","18,875",""
"Persons per household, 2012-2016","","3.32","","2.36","","2.39","","2.79","","3.04","","1.98",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","88.4%","","77.8%","","85.3%","","89.4%","","92.9%","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","49.3%","","66.5%","","50.3%","","72.6%","","87.1%","","58.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","94.0%","","93.3%","","93.8%","","97.9%","","81.4%","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","52.8%","","45.9%","","47.2%","","70.6%","","22.8%","","50.9%",""
"With a disability, under age 65 years, percent, 2012-2016","","4.6%","","4.6%","","6.4%","","3.6%","","3.3%","","3.8%",""
"Persons  without health insurance, under age 65 years, percent","","11.0%","","25.7%","","20.4%","","5.8%","","20.1%","","14.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","64.4%","","71.5%","","62.4%","","55.8%","","62.5%","","53.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","56.0%","","69.0%","","57.0%","","44.9%","","55.9%","","43.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D","","13,207","","9,543","","100,425","","7,539","","244,682",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","D","","19,516","","22,132","","19,283","","9,311","","614,552",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","X","","X","","D","","1,001","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","264,848","","16,307","","98,876","","36,065","","1,091","","1,807,896",""
"Total retail sales, 2012 ($1,000)","(c)","972,054","","23,616","","33,007","","97,650","","40,501","","2,197,854",""
"Total retail sales per capita, 2012","(c)","$40,201","","$3,208","","$5,670","","$7,652","","$6,548","","$59,432",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","36.0","","28.7","","27.4","","24.4","","27.7","","31.4",""
"Median household income (in 2016 dollars), 2012-2016","","$105,316","","$55,270","","$61,225","","$124,504","","$43,233","","$55,891",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$44,896","","$32,737","","$42,409","","$79,262","","$23,622","","$47,687",""
"Persons in poverty, percent","","7.2%","","12.7%","","13.1%","","7.0%","","10.8%","","11.1%",""
"Total employer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"Total employment, 2015","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2015 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2014-2015","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","4,182","","1,552","","1,647","","2,596","","1,159","","8,811",""
"Men-owned firms, 2012","","2,251","","717","","844","","1,425","","625","","4,063",""
"Women-owned firms, 2012","","1,379","","782","","466","","884","","506","","2,914",""
"Minority-owned firms, 2012","","2,075","","1,034","","718","","1,507","","1,115","","3,824",""
"Nonminority-owned firms, 2012","","1,883","","511","","807","","930","","29","","4,542",""
"Veteran-owned firms, 2012","","322","","85","","74","","139","","F","","480",""
"Nonveteran-owned firms, 2012","","3,651","","1,460","","1,479","","2,292","","1,122","","7,764",""
"Population per square mile, 2010","","2,823.9","","19,289.2","","14,212.1","","10,068.5","","8,413.3","","13,484.9",""
"Land area in square miles, 2010","","8.29","","0.37","","0.40","","1.23","","0.71","","2.65",""
"FIPS Code","","""1254275""","","""1249225""","","""1203975""","","""1236300""","","""1276525""","","""1202681""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Median of selected monthly owner costs--with a mortgage is $4,000 or higher.","","","","","","","","","","","",""
"2","Median of selected monthly owner costs--without a mortgage is $1,500 or higher.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
